Symbol	Name	# SSM Affected Cases in Cohort	# SSM Affected Cases Across the GDC	# CNV Gain	# CNV Loss	# Mutations	Annotations	Survival
IDH1	isocitrate dehydrogenase (NADP(+)) 1	422 / 984 (42.89%)	554 / 12,968	--	--	6	Cancer Gene Census	add to survival plot
TP53	tumor protein p53	396 / 984 (40.24%)	4,609 / 12,968	--	--	240	Cancer Gene Census	add to survival plot
ATRX	ATRX chromatin remodeler	230 / 984 (23.37%)	743 / 12,968	--	--	233	Cancer Gene Census	add to survival plot
PTEN	phosphatase and tensin homolog	192 / 984 (19.51%)	1,066 / 12,968	--	--	148	Cancer Gene Census	add to survival plot
EGFR	epidermal growth factor receptor	141 / 984 (14.33%)	563 / 12,968	--	--	73	Cancer Gene Census	add to survival plot
MUC16	mucin 16, cell surface associated	117 / 984 (11.89%)	2,648 / 12,968	--	--	185	Cancer Gene Census	add to survival plot
CIC	capicua transcriptional repressor	114 / 984 (11.59%)	412 / 12,968	--	--	101	Cancer Gene Census	add to survival plot
PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	90 / 984 (9.15%)	1,574 / 12,968	--	--	59	Cancer Gene Census	add to survival plot
NF1	neurofibromin 1	90 / 984 (9.15%)	795 / 12,968	--	--	114	Cancer Gene Census	add to survival plot
PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	66 / 984 (6.71%)	482 / 12,968	--	--	53	Cancer Gene Census	add to survival plot
RB1	RB transcriptional corepressor 1	53 / 984 (5.39%)	520 / 12,968	--	--	51	Cancer Gene Census	add to survival plot
FUBP1	far upstream element binding protein 1	47 / 984 (4.78%)	208 / 12,968	--	--	44	Cancer Gene Census	add to survival plot
NOTCH1	notch receptor 1	40 / 984 (4.07%)	590 / 12,968	--	--	44	Cancer Gene Census	add to survival plot
CSMD3	CUB and Sushi multiple domains 3	36 / 984 (3.66%)	1,795 / 12,968	--	--	44	Cancer Gene Census	add to survival plot
BCOR	BCL6 corepressor	35 / 984 (3.56%)	431 / 12,968	--	--	38	Cancer Gene Census	add to survival plot
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	30 / 984 (3.05%)	515 / 12,968	--	--	36	Cancer Gene Census	add to survival plot
GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	29 / 984 (2.95%)	727 / 12,968	--	--	35	Cancer Gene Census	add to survival plot
FAT4	FAT atypical cadherin 4	28 / 984 (2.85%)	1,303 / 12,968	--	--	42	Cancer Gene Census	add to survival plot
PDGFRA	platelet derived growth factor receptor alpha	27 / 984 (2.74%)	391 / 12,968	--	--	31	Cancer Gene Census	add to survival plot
CNTNAP2	contactin associated protein 2	27 / 984 (2.74%)	734 / 12,968	--	--	32	Cancer Gene Census	add to survival plot
LRP1B	LDL receptor related protein 1B	26 / 984 (2.64%)	1,645 / 12,968	--	--	46	Cancer Gene Census	add to survival plot
TRRAP	transformation/transcription domain associated protein	25 / 984 (2.54%)	658 / 12,968	--	--	37	Cancer Gene Census	add to survival plot
KMT2C	lysine methyltransferase 2C	24 / 984 (2.44%)	975 / 12,968	--	--	40	Cancer Gene Census	add to survival plot
